Geneid	SRR5364321
ENSMUSG00000104478	0
ENSMUSG00000104385	0
ENSMUSG00000101231	0
ENSMUSG00000101097	0
ENSMUSG00000100764	22
ENSMUSG00000100831	0
ENSMUSG00000100884	0
ENSMUSG00000100635	11
ENSMUSG00000100480	33
ENSMUSG00000089037	0
ENSMUSG00002076531	0
ENSMUSG00000100025	0
ENSMUSG00000100290	0
ENSMUSG00000100758	0
ENSMUSG00000099926	0
ENSMUSG00000118715	0
ENSMUSG00000104158	1
ENSMUSG00000103540	69
ENSMUSG00000102788	9
ENSMUSG00000102160	16
ENSMUSG00000101253	3
ENSMUSG00000101846	1
ENSMUSG00000090243	0
ENSMUSG00000100701	4
ENSMUSG00000100555	7
ENSMUSG00000101395	0
ENSMUSG00000102728	0
ENSMUSG00000088848	0
ENSMUSG00002075225	0
ENSMUSG00000101875	1
ENSMUSG00000099732	0
ENSMUSG00000101220	0
ENSMUSG00000100020	0
ENSMUSG00000088691	0
ENSMUSG00000099884	0
ENSMUSG00000100304	0
ENSMUSG00000101453	0
ENSMUSG00000102105	0
ENSMUSG00000099943	0
ENSMUSG00002075119	0
ENSMUSG00000101687	0
ENSMUSG00000078184	30
ENSMUSG00000104363	6
ENSMUSG00000103277	3
ENSMUSG00000104157	85
ENSMUSG00000102446	0
ENSMUSG00000104248	0
ENSMUSG00000103471	0
ENSMUSG00000087875	0
ENSMUSG00000070695	560
ENSMUSG00002076179	0
ENSMUSG00000102033	0
ENSMUSG00000094429	0
ENSMUSG00000065625	0
ENSMUSG00000103411	2
ENSMUSG00000061024	356
ENSMUSG00000102030	15
ENSMUSG00000081441	2
ENSMUSG00000099827	0
ENSMUSG00000103634	2
ENSMUSG00000104154	442
ENSMUSG00000065573	0
ENSMUSG00002076271	0
ENSMUSG00000103367	0
ENSMUSG00000103584	0
ENSMUSG00002076339	0
ENSMUSG00000102475	0
ENSMUSG00000102211	5
ENSMUSG00000090106	1
ENSMUSG00000103251	0
ENSMUSG00000091844	7
ENSMUSG00000098611	0
ENSMUSG00000100534	4
ENSMUSG00000102904	0
ENSMUSG00002076350	0
ENSMUSG00000104391	51
ENSMUSG00000102133	10
ENSMUSG00000102749	4
ENSMUSG00000103163	0
ENSMUSG00000103646	3
ENSMUSG00000102427	1
ENSMUSG00000103767	0
ENSMUSG00000101104	0
ENSMUSG00000084557	2
ENSMUSG00000100685	0
ENSMUSG00000102090	0
ENSMUSG00000103744	0
ENSMUSG00000089657	0
ENSMUSG00000099141	0
ENSMUSG00000101849	0
ENSMUSG00000101506	0
ENSMUSG00000065215	0
ENSMUSG00000080878	0
ENSMUSG00000104097	59
ENSMUSG00000119789	0
ENSMUSG00000102493	4
ENSMUSG00000089703	0
ENSMUSG00000100966	0
ENSMUSG00000101567	1
ENSMUSG00000104018	63
ENSMUSG00000090486	39
ENSMUSG00000086145	2
ENSMUSG00000080950	4
ENSMUSG00000099868	0
ENSMUSG00000055547	1
ENSMUSG00000100562	0
ENSMUSG00000102319	0
ENSMUSG00000089877	0
ENSMUSG00000101701	0
ENSMUSG00000103071	0
ENSMUSG00000100434	0
ENSMUSG00000100013	0
ENSMUSG00000101251	0
ENSMUSG00000101937	0
ENSMUSG00002075531	0
ENSMUSG00000064954	0
ENSMUSG00000064967	0
ENSMUSG00000102922	2
ENSMUSG00000099377	2
ENSMUSG00000099706	1
ENSMUSG00000101324	0
ENSMUSG00000072978	4
ENSMUSG00000046334	7
ENSMUSG00002075801	0
ENSMUSG00000099562	0
ENSMUSG00000077782	0
ENSMUSG00000096474	7
ENSMUSG00000102235	1
